isodate,hospitalizados
2024-02-21,229
2024-02-22,235
2024-02-23,238
2024-02-24,223
2024-02-25,231
2024-02-26,250
2024-02-27,256
2024-02-28,251
2024-02-29,224
2024-03-01,235
2024-03-02,229
2024-03-03,232
2024-03-04,240
2024-03-05,220
2024-03-06,236
2024-03-07,260
2024-03-08,228
2024-03-09,179
2024-03-10,195
2024-03-11,206
2024-03-12,201
2024-03-13,191
2024-03-14,178
2024-03-15,199
2024-03-16,167
2024-03-17,154
2024-03-18,153
2024-03-19,177
2024-03-20,171
2024-03-21,165
2024-03-22,136
2024-03-23,143
2024-03-24,136
2024-03-25,148
2024-03-26,170
2024-03-27,167
2024-03-28,160
2024-03-29,157
2024-03-30,147
2024-03-31,150
2024-04-01,176
2024-04-02,170
2024-04-03,172
2024-04-04,149
2024-04-05,155
2024-04-06,155
2024-04-07,149
2024-04-08,180
2024-04-09,166
2024-04-10,164
2024-04-11,161
2024-04-12,146
